StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.010000,0.250000,0.050000,5.930000,168.634064,"0000.png"
0.010000,0.250000,0.100000,7.850000,127.388535,"0001.png"
0.010000,0.250000,0.150000,8.890000,112.485939,"0002.png"
0.010000,0.250000,0.200000,11.750000,85.106383,"0003.png"
0.010000,0.250000,0.250000,13.860000,72.150072,"0004.png"
0.010000,0.500000,0.050000,5.810000,172.117040,"0005.png"
0.010000,0.500000,0.100000,6.950000,143.884892,"0006.png"
0.010000,0.500000,0.150000,10.070000,99.304866,"0007.png"
0.010000,0.500000,0.200000,9.570000,104.493208,"0008.png"
0.010000,0.500000,0.250000,10.490000,95.328885,"0009.png"
0.010000,0.750000,0.050000,4.510000,221.729490,"0010.png"
0.010000,0.750000,0.100000,6.700000,149.253731,"0011.png"
0.010000,0.750000,0.150000,9.590000,104.275287,"0012.png"
0.010000,0.750000,0.200000,10.080000,99.206349,"0013.png"
0.010000,0.750000,0.250000,11.120000,89.928058,"0014.png"
0.010000,1.000000,0.050000,4.690000,213.219616,"0015.png"
0.010000,1.000000,0.100000,6.550000,152.671756,"0016.png"
0.010000,1.000000,0.150000,10.440000,95.785441,"0017.png"
0.010000,1.000000,0.200000,10.040000,99.601594,"0018.png"
0.010000,1.000000,0.250000,11.880000,84.175084,"0019.png"
0.010000,1.250000,0.050000,5.790000,172.711572,"0020.png"
0.010000,1.250000,0.100000,6.350000,157.480315,"0021.png"
0.010000,1.250000,0.150000,10.060000,99.403579,"0022.png"
0.010000,1.250000,0.200000,9.820000,101.832994,"0023.png"
0.010000,1.250000,0.250000,12.370000,80.840744,"0024.png"
0.010000,1.500000,0.050000,5.790000,172.711572,"0025.png"
0.010000,1.500000,0.100000,7.320000,136.612022,"0026.png"
0.010000,1.500000,0.150000,10.340000,96.711799,"0027.png"
0.010000,1.500000,0.200000,8.970000,111.482720,"0028.png"
0.010000,1.500000,0.250000,9.600000,104.166667,"0029.png"
0.010000,1.750000,0.050000,3.970000,251.889169,"0030.png"
0.010000,1.750000,0.100000,6.520000,153.374233,"0031.png"
0.010000,1.750000,0.150000,8.100000,123.456790,"0032.png"
0.010000,1.750000,0.200000,8.840000,113.122172,"0033.png"
0.010000,1.750000,0.250000,9.870000,101.317123,"0034.png"
0.010000,2.000000,0.050000,3.860000,259.067358,"0035.png"
0.010000,2.000000,0.100000,6.310000,158.478605,"0036.png"
0.010000,2.000000,0.150000,7.730000,129.366106,"0037.png"
0.010000,2.000000,0.200000,9.630000,103.842160,"0038.png"
0.010000,2.000000,0.250000,11.150000,89.686099,"0039.png"
0.060000,0.250000,0.050000,1.970000,507.614213,"0040.png"
0.060000,0.250000,0.100000,2.450000,408.163265,"0041.png"
0.060000,0.250000,0.150000,2.670000,374.531835,"0042.png"
0.060000,0.250000,0.200000,2.750000,363.636364,"0043.png"
0.060000,0.250000,0.250000,2.910000,343.642612,"0044.png"
0.060000,0.500000,0.050000,1.780000,561.797753,"0045.png"
0.060000,0.500000,0.100000,2.060000,485.436893,"0046.png"
0.060000,0.500000,0.150000,2.300000,434.782609,"0047.png"
0.060000,0.500000,0.200000,2.490000,401.606426,"0048.png"
0.060000,0.500000,0.250000,2.790000,358.422939,"0049.png"
0.060000,0.750000,0.050000,1.550000,645.161290,"0050.png"
0.060000,0.750000,0.100000,1.940000,515.463918,"0051.png"
0.060000,0.750000,0.150000,2.210000,452.488688,"0052.png"
0.060000,0.750000,0.200000,2.400000,416.666667,"0053.png"
0.060000,0.750000,0.250000,2.570000,389.105058,"0054.png"
0.060000,1.000000,0.050000,1.490000,671.140940,"0055.png"
0.060000,1.000000,0.100000,1.880000,531.914894,"0056.png"
0.060000,1.000000,0.150000,2.140000,467.289720,"0057.png"
0.060000,1.000000,0.200000,2.330000,429.184549,"0058.png"
0.060000,1.000000,0.250000,2.500000,400.000000,"0059.png"
0.060000,1.250000,0.050000,1.440000,694.444444,"0060.png"
0.060000,1.250000,0.100000,1.800000,555.555556,"0061.png"
0.060000,1.250000,0.150000,2.080000,480.769231,"0062.png"
0.060000,1.250000,0.200000,2.320000,431.034483,"0063.png"
0.060000,1.250000,0.250000,2.510000,398.406375,"0064.png"
0.060000,1.500000,0.050000,1.410000,709.219858,"0065.png"
0.060000,1.500000,0.100000,1.810000,552.486188,"0066.png"
