StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.010000,0.250000,0.050000,8.010000,124.843945,"0000.png"
0.010000,0.250000,0.100000,12.280000,81.433225,"0001.png"
0.010000,0.250000,0.150000,12.060000,82.918740,"0002.png"
0.010000,0.250000,0.200000,14.950000,66.889632,"0003.png"
0.010000,0.250000,0.250000,19.560000,51.124744,"0004.png"
0.010000,0.500000,0.050000,5.710000,175.131349,"0005.png"
0.010000,0.500000,0.100000,8.580000,116.550117,"0006.png"
0.010000,0.500000,0.150000,10.380000,96.339114,"0007.png"
0.010000,0.500000,0.200000,12.120000,82.508251,"0008.png"
0.010000,0.500000,0.250000,13.840000,72.254335,"0009.png"
0.010000,0.750000,0.050000,4.730000,211.416490,"0010.png"
0.010000,0.750000,0.100000,7.700000,129.870130,"0011.png"
0.010000,0.750000,0.150000,9.600000,104.166667,"0012.png"
0.010000,0.750000,0.200000,11.210000,89.206066,"0013.png"
0.010000,0.750000,0.250000,12.720000,78.616352,"0014.png"
0.010000,1.000000,0.050000,4.500000,222.222222,"0015.png"
0.010000,1.000000,0.100000,8.270000,120.918984,"0016.png"
0.010000,1.000000,0.150000,10.960000,91.240876,"0017.png"
0.010000,1.000000,0.200000,11.290000,88.573959,"0018.png"
0.010000,1.000000,0.250000,13.900000,71.942446,"0019.png"
0.010000,1.250000,0.050000,4.380000,228.310502,"0020.png"
0.010000,1.250000,0.100000,7.180000,139.275766,"0021.png"
0.010000,1.250000,0.150000,11.780000,84.889643,"0022.png"
0.010000,1.250000,0.200000,13.820000,72.358900,"0023.png"
0.010000,1.250000,0.250000,13.020000,76.804916,"0024.png"
0.010000,1.500000,0.050000,4.360000,229.357798,"0025.png"
0.010000,1.500000,0.100000,6.910000,144.717800,"0026.png"
0.010000,1.500000,0.150000,9.220000,108.459870,"0027.png"
0.010000,1.500000,0.200000,10.710000,93.370682,"0028.png"
0.010000,1.500000,0.250000,12.410000,80.580177,"0029.png"
0.010000,1.750000,0.050000,4.080000,245.098039,"0030.png"
0.010000,1.750000,0.100000,6.800000,147.058824,"0031.png"
0.010000,1.750000,0.150000,8.790000,113.765643,"0032.png"
0.010000,1.750000,0.200000,10.230000,97.751711,"0033.png"
0.010000,1.750000,0.250000,11.790000,84.817642,"0034.png"
0.010000,2.000000,0.050000,4.010000,249.376559,"0035.png"
0.010000,2.000000,0.100000,6.430000,155.520995,"0036.png"
0.010000,2.000000,0.150000,8.600000,116.279070,"0037.png"
0.010000,2.000000,0.200000,10.280000,97.276265,"0038.png"
0.010000,2.000000,0.250000,11.920000,83.892617,"0039.png"
0.060000,0.250000,0.050000,4.910000,203.665988,"0040.png"
0.060000,0.250000,0.100000,5.220000,191.570881,"0041.png"
0.060000,0.250000,0.150000,5.500000,181.818182,"0042.png"
0.060000,0.250000,0.200000,5.780000,173.010381,"0043.png"
0.060000,0.250000,0.250000,6.110000,163.666121,"0044.png"
0.060000,0.500000,0.050000,3.040000,328.947368,"0045.png"
0.060000,0.500000,0.100000,3.610000,277.008310,"0046.png"
0.060000,0.500000,0.150000,3.920000,255.102041,"0047.png"
0.060000,0.500000,0.200000,4.230000,236.406619,"0048.png"
0.060000,0.500000,0.250000,4.380000,228.310502,"0049.png"
0.060000,0.750000,0.050000,2.310000,432.900433,"0050.png"
0.060000,0.750000,0.100000,2.800000,357.142857,"0051.png"
0.060000,0.750000,0.150000,3.190000,313.479624,"0052.png"
0.060000,0.750000,0.200000,3.500000,285.714286,"0053.png"
0.060000,0.750000,0.250000,3.820000,261.780105,"0054.png"
0.060000,1.000000,0.050000,1.940000,515.463918,"0055.png"
0.060000,1.000000,0.100000,2.480000,403.225806,"0056.png"
0.060000,1.000000,0.150000,2.850000,350.877193,"0057.png"
0.060000,1.000000,0.200000,3.230000,309.597523,"0058.png"
0.060000,1.000000,0.250000,3.480000,287.356322,"0059.png"
0.060000,1.250000,0.050000,1.730000,578.034682,"0060.png"
0.060000,1.250000,0.100000,2.250000,444.444444,"0061.png"
0.060000,1.250000,0.150000,2.690000,371.747212,"0062.png"
0.060000,1.250000,0.200000,3.000000,333.333333,"0063.png"
