StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.010000,0.250000,0.050000,13.270000,75.357950,"0000.png"
0.010000,0.250000,0.100000,17.360000,57.603687,"0001.png"
0.010000,0.250000,0.150000,20.200000,49.504950,"0002.png"
0.010000,0.250000,0.200000,22.610000,44.228218,"0003.png"
0.010000,0.250000,0.250000,24.460000,40.883074,"0004.png"
0.010000,0.500000,0.050000,9.110000,109.769484,"0005.png"
0.010000,0.500000,0.100000,12.930000,77.339520,"0006.png"
0.010000,0.500000,0.150000,15.860000,63.051702,"0007.png"
0.010000,0.500000,0.200000,18.240000,54.824561,"0008.png"
0.010000,0.500000,0.250000,20.550000,48.661800,"0009.png"
0.010000,0.750000,0.050000,7.800000,128.205128,"0010.png"
0.010000,0.750000,0.100000,12.040000,83.056478,"0011.png"
0.010000,0.750000,0.150000,13.800000,72.463768,"0012.png"
0.010000,0.750000,0.200000,16.690000,59.916117,"0013.png"
0.010000,0.750000,0.250000,18.310000,54.614965,"0014.png"
0.010000,1.000000,0.050000,7.180000,139.275766,"0015.png"
0.010000,1.000000,0.100000,10.990000,90.991811,"0016.png"
0.010000,1.000000,0.150000,12.920000,77.399381,"0017.png"
0.010000,1.000000,0.200000,15.650000,63.897764,"0018.png"
0.010000,1.000000,0.250000,18.130000,55.157198,"0019.png"
0.010000,1.250000,0.050000,6.580000,151.975684,"0020.png"
0.010000,1.250000,0.100000,10.180000,98.231827,"0021.png"
0.010000,1.250000,0.150000,12.270000,81.499593,"0022.png"
0.010000,1.250000,0.200000,14.950000,66.889632,"0023.png"
0.010000,1.250000,0.250000,18.160000,55.066079,"0024.png"
0.010000,1.500000,0.050000,6.110000,163.666121,"0025.png"
0.010000,1.500000,0.100000,9.380000,106.609808,"0026.png"
0.010000,1.500000,0.150000,12.090000,82.712986,"0027.png"
0.010000,1.500000,0.200000,13.970000,71.581961,"0028.png"
0.010000,1.500000,0.250000,17.650000,56.657224,"0029.png"
0.010000,1.750000,0.050000,6.030000,165.837479,"0030.png"
0.010000,1.750000,0.100000,8.830000,113.250283,"0031.png"
0.010000,1.750000,0.150000,12.120000,82.508251,"0032.png"
0.010000,1.750000,0.200000,13.020000,76.804916,"0033.png"
