StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile
0.010000,0.250000,0.050000,11.940000,83.752094,"0000.png"
0.010000,0.250000,0.100000,14.910000,67.069081,"0001.png"
0.010000,0.250000,0.150000,17.200000,58.139535,"0002.png"
0.010000,0.250000,0.200000,18.890000,52.938062,"0003.png"
0.010000,0.250000,0.250000,20.710000,48.285852,"0004.png"
0.010000,0.500000,0.050000,8.000000,125.000000,"0005.png"
0.010000,0.500000,0.100000,11.420000,87.565674,"0006.png"
0.010000,0.500000,0.150000,13.770000,72.621641,"0007.png"
0.010000,0.500000,0.200000,15.580000,64.184852,"0008.png"
0.010000,0.500000,0.250000,17.470000,57.240985,"0009.png"
0.010000,0.750000,0.050000,6.550000,152.671756,"0010.png"
0.010000,0.750000,0.100000,10.260000,97.465887,"0011.png"
0.010000,0.750000,0.150000,12.380000,80.775444,"0012.png"
0.010000,0.750000,0.200000,14.260000,70.126227,"0013.png"
0.010000,0.750000,0.250000,15.960000,62.656642,"0014.png"
0.010000,1.000000,0.050000,5.890000,169.779287,"0015.png"
0.010000,1.000000,0.100000,9.220000,108.459870,"0016.png"
0.010000,1.000000,0.150000,11.590000,86.281277,"0017.png"
0.010000,1.000000,0.200000,13.820000,72.358900,"0018.png"
0.010000,1.000000,0.250000,15.440000,64.766839,"0019.png"
0.010000,1.250000,0.050000,5.750000,173.913043,"0020.png"
0.010000,1.250000,0.100000,8.860000,112.866817,"0021.png"
0.010000,1.250000,0.150000,11.410000,87.642419,"0022.png"
0.010000,1.250000,0.200000,13.280000,75.301205,"0023.png"
0.010000,1.250000,0.250000,14.930000,66.979236,"0024.png"
0.010000,1.500000,0.050000,5.620000,177.935943,"0025.png"
0.010000,1.500000,0.100000,8.380000,119.331742,"0026.png"
0.010000,1.500000,0.150000,10.880000,91.911765,"0027.png"
0.010000,1.500000,0.200000,12.730000,78.554595,"0028.png"
0.010000,1.500000,0.250000,14.600000,68.493151,"0029.png"
0.010000,1.750000,0.050000,5.220000,191.570881,"0030.png"
0.010000,1.750000,0.100000,8.160000,122.549020,"0031.png"
0.010000,1.750000,0.150000,10.530000,94.966762,"0032.png"
0.010000,1.750000,0.200000,12.270000,81.499593,"0033.png"
0.010000,1.750000,0.250000,14.130000,70.771408,"0034.png"
0.010000,2.000000,0.050000,5.410000,184.842884,"0035.png"
0.010000,2.000000,0.100000,7.500000,133.333333,"0036.png"
0.010000,2.000000,0.150000,10.100000,99.009901,"0037.png"
0.010000,2.000000,0.200000,11.990000,83.402836,"0038.png"
0.010000,2.000000,0.250000,14.200000,70.422535,"0039.png"
0.060000,0.250000,0.050000,10.070000,99.304866,"0040.png"
0.060000,0.250000,0.100000,10.370000,96.432015,"0041.png"
0.060000,0.250000,0.150000,10.680000,93.632959,"0042.png"
0.060000,0.250000,0.200000,10.990000,90.991811,"0043.png"
0.060000,0.250000,0.250000,11.360000,88.028169,"0044.png"
0.060000,0.500000,0.050000,5.900000,169.491525,"0045.png"
0.060000,0.500000,0.100000,6.070000,164.744646,"0046.png"
0.060000,0.500000,0.150000,6.420000,155.763240,"0047.png"
0.060000,0.500000,0.200000,6.710000,149.031297,"0048.png"
0.060000,0.500000,0.250000,7.060000,141.643059,"0049.png"
0.060000,0.750000,0.050000,4.250000,235.294118,"0050.png"
0.060000,0.750000,0.100000,4.630000,215.982721,"0051.png"
0.060000,0.750000,0.150000,4.980000,200.803213,"0052.png"
0.060000,0.750000,0.200000,5.350000,186.915888,"0053.png"
0.060000,0.750000,0.250000,5.790000,172.711572,"0054.png"
0.060000,1.000000,0.050000,3.430000,291.545190,"0055.png"
0.060000,1.000000,0.100000,3.850000,259.740260,"0056.png"
0.060000,1.000000,0.150000,4.180000,239.234450,"0057.png"
0.060000,1.000000,0.200000,4.550000,219.780220,"0058.png"
0.060000,1.000000,0.250000,4.940000,202.429150,"0059.png"
0.060000,1.250000,0.050000,2.940000,340.136054,"0060.png"
0.060000,1.250000,0.100000,3.340000,299.401198,"0061.png"
0.060000,1.250000,0.150000,3.830000,261.096606,"0062.png"
0.060000,1.250000,0.200000,4.170000,239.808153,"0063.png"
0.060000,1.250000,0.250000,4.510000,221.729490,"0064.png"
0.060000,1.500000,0.050000,2.590000,386.100386,"0065.png"
0.060000,1.500000,0.100000,2.930000,341.296928,"0066.png"
0.060000,1.500000,0.150000,3.510000,284.900285,"0067.png"
0.060000,1.500000,0.200000,3.850000,259.740260,"0068.png"
0.060000,1.500000,0.250000,4.200000,238.095238,"0069.png"
0.060000,1.750000,0.050000,2.330000,429.184549,"0070.png"
0.060000,1.750000,0.100000,2.830000,353.356890,"0071.png"
0.060000,1.750000,0.150000,3.210000,311.526480,"0072.png"
0.060000,1.750000,0.200000,3.550000,281.690141,"0073.png"
0.060000,1.750000,0.250000,3.960000,252.525253,"0074.png"
0.060000,2.000000,0.050000,2.140000,467.289720,"0075.png"
0.060000,2.000000,0.100000,2.600000,384.615385,"0076.png"
0.060000,2.000000,0.150000,2.980000,335.570470,"0077.png"
0.060000,2.000000,0.200000,3.390000,294.985251,"0078.png"
0.060000,2.000000,0.250000,3.780000,264.550265,"0079.png"
0.110000,0.250000,0.050000,9.940000,100.603622,"0080.png"
0.110000,0.250000,0.100000,10.010000,99.900100,"0081.png"
0.110000,0.250000,0.150000,10.190000,98.135427,"0082.png"
0.110000,0.250000,0.200000,10.250000,97.560976,"0083.png"
0.110000,0.250000,0.250000,10.410000,96.061479,"0084.png"
0.110000,0.500000,0.050000,5.720000,174.825175,"0085.png"
0.110000,0.500000,0.100000,5.870000,170.357751,"0086.png"
0.110000,0.500000,0.150000,5.890000,169.779287,"0087.png"
0.110000,0.500000,0.200000,6.010000,166.389351,"0088.png"
0.110000,0.500000,0.250000,6.270000,159.489633,"0089.png"
0.110000,0.750000,0.050000,4.100000,243.902439,"0090.png"
0.110000,0.750000,0.100000,4.280000,233.644860,"0091.png"
0.110000,0.750000,0.150000,4.490000,222.717149,"0092.png"
0.110000,0.750000,0.200000,4.650000,215.053763,"0093.png"
0.110000,0.750000,0.250000,4.840000,206.611570,"0094.png"
0.110000,1.000000,0.050000,3.250000,307.692308,"0095.png"
0.110000,1.000000,0.100000,3.480000,287.356322,"0096.png"
0.110000,1.000000,0.150000,3.660000,273.224044,"0097.png"
0.110000,1.000000,0.200000,3.850000,259.740260,"0098.png"
0.110000,1.000000,0.250000,4.040000,247.524752,"0099.png"
0.110000,1.250000,0.050000,2.780000,359.712230,"0100.png"
0.110000,1.250000,0.100000,2.950000,338.983051,"0101.png"
0.110000,1.250000,0.150000,3.140000,318.471338,"0102.png"
0.110000,1.250000,0.200000,3.340000,299.401198,"0103.png"
0.110000,1.250000,0.250000,3.510000,284.900285,"0104.png"
0.110000,1.500000,0.050000,2.400000,416.666667,"0105.png"
0.110000,1.500000,0.100000,2.630000,380.228137,"0106.png"
0.110000,1.500000,0.150000,2.830000,353.356890,"0107.png"
0.110000,1.500000,0.200000,2.940000,340.136054,"0108.png"
0.110000,1.500000,0.250000,3.170000,315.457413,"0109.png"
0.110000,1.750000,0.050000,2.150000,465.116279,"0110.png"
0.110000,1.750000,0.100000,2.360000,423.728814,"0111.png"
0.110000,1.750000,0.150000,2.550000,392.156863,"0112.png"
0.110000,1.750000,0.200000,2.750000,363.636364,"0113.png"
0.110000,1.750000,0.250000,2.920000,342.465753,"0114.png"
0.110000,2.000000,0.050000,1.960000,510.204082,"0115.png"
0.110000,2.000000,0.100000,2.180000,458.715596,"0116.png"
0.110000,2.000000,0.150000,2.390000,418.410042,"0117.png"
0.110000,2.000000,0.200000,2.580000,387.596899,"0118.png"
0.110000,2.000000,0.250000,2.810000,355.871886,"0119.png"
0.160000,0.250000,0.050000,9.840000,101.626016,"0120.png"
0.160000,0.250000,0.100000,9.870000,101.317123,"0121.png"
0.160000,0.250000,0.150000,9.960000,100.401606,"0122.png"
0.160000,0.250000,0.200000,10.030000,99.700897,"0123.png"
0.160000,0.250000,0.250000,10.030000,99.700897,"0124.png"
0.160000,0.500000,0.050000,5.590000,178.890877,"0125.png"
0.160000,0.500000,0.100000,5.680000,176.056338,"0126.png"
0.160000,0.500000,0.150000,5.810000,172.117040,"0127.png"
0.160000,0.500000,0.200000,5.900000,169.491525,"0128.png"
0.160000,0.500000,0.250000,5.900000,169.491525,"0129.png"
0.160000,0.750000,0.050000,4.000000,250.000000,"0130.png"
0.160000,0.750000,0.100000,4.130000,242.130751,"0131.png"
0.160000,0.750000,0.150000,4.250000,235.294118,"0132.png"
0.160000,0.750000,0.200000,4.360000,229.357798,"0133.png"
0.160000,0.750000,0.250000,4.500000,222.222222,"0134.png"
0.160000,1.000000,0.050000,3.170000,315.457413,"0135.png"
